gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature
CDH3	UP	39	basal_like_1	CDH3	UP	31	basal_like_2	CDH3	UP	37	immunomodulatory	CDH3	UP	39	mesenchymal	LOC100130100	UP	17	mesenchymal_stem_like	NAT2	UP	26	luminal_ar
LOC100130100	UP	45	basal_like_1	PDZK1IP1	UP	35	basal_like_2	TANK	UP	36	immunomodulatory	ATP9A	UP	37	mesenchymal	LOC100133484	UP	16	mesenchymal_stem_like	LOC100132941	UP	22	luminal_ar
LOC100133233	UP	35	basal_like_1	MPZL2	UP	28	basal_like_2	LOC100130100	UP	58	immunomodulatory	CDH11	UP	47	mesenchymal	SH2B3	UP	14	mesenchymal_stem_like	TOM1L1	UP	22	luminal_ar
LOC100133739	UP	36	basal_like_1	CDKN2A	UP	30	basal_like_2	LOC100133233	UP	48	immunomodulatory	FARP1	UP	39	mesenchymal	CDH5	UP	20	mesenchymal_stem_like	AP1M2	UP	29	luminal_ar
CD24	UP	37	basal_like_1	SPON1	UP	29	basal_like_2	LOC100133484	UP	48	immunomodulatory	NET1	UP	49	mesenchymal	COL4A3BP	UP	13	mesenchymal_stem_like	ABCB6	UP	28	luminal_ar
DNAJB6	UP	34	basal_like_1	FAM3C	UP	29	basal_like_2	LOC100133739	UP	48	immunomodulatory	EFS	UP	38	mesenchymal	CDH11	UP	20	mesenchymal_stem_like	DPP3	UP	22	luminal_ar
RASGRP1	UP	39	basal_like_1	VAV3	UP	30	basal_like_2	LOC100133862	UP	40	immunomodulatory	CDKN1C	UP	38	mesenchymal	TSPAN3	UP	18	mesenchymal_stem_like	COL4A3BP	UP	27	luminal_ar
FARP1	UP	34	basal_like_1	SEC23A	UP	28	basal_like_2	SH2B3	UP	40	immunomodulatory	SPEG	UP	37	mesenchymal	CTDSP2	UP	17	mesenchymal_stem_like	CDH11	UP	24	luminal_ar
MPZL2	UP	36	basal_like_1	SEMA3C	UP	33	basal_like_2	NR1H3	UP	46	immunomodulatory	DLC1	UP	45	mesenchymal	FRY	UP	19	mesenchymal_stem_like	TSPAN1	UP	32	luminal_ar
MSLN	UP	35	basal_like_1	NEBL	UP	29	basal_like_2	ADAM8	UP	39	immunomodulatory	NDRG1	UP	42	mesenchymal	FAM13A	UP	16	mesenchymal_stem_like	PPIF	UP	22	luminal_ar
IRX5	UP	36	basal_like_1	IFI44	UP	30	basal_like_2	RASGRP1	UP	53	immunomodulatory	MYL9	UP	44	mesenchymal	MBNL2	UP	13	mesenchymal_stem_like	RAD50	UP	25	luminal_ar
NET1	UP	35	basal_like_1	ST6GALNAC2	UP	28	basal_like_2	OPTN	UP	45	immunomodulatory	PGCP	UP	37	mesenchymal	PLXNC1	UP	18	mesenchymal_stem_like	ACTR1A	UP	25	luminal_ar
EFS	UP	36	basal_like_1	TRIM16	UP	33	basal_like_2	PLXNC1	UP	45	immunomodulatory	SPON2	UP	43	mesenchymal	RASA4	UP	14	mesenchymal_stem_like	ARL4A	UP	30	luminal_ar
CDKN2A	UP	39	basal_like_1	POSTN	UP	33	basal_like_2	P2RY5	UP	36	immunomodulatory	SORBS1	UP	39	mesenchymal	P2RY5	UP	22	mesenchymal_stem_like	NAMPT	UP	32	luminal_ar
NDRG1	UP	39	basal_like_1	IGF2BP2	UP	30	basal_like_2	CD96	UP	40	immunomodulatory	CDC42EP3	UP	37	mesenchymal	RBM6	UP	13	mesenchymal_stem_like	TOB1	UP	29	luminal_ar
NDC80	UP	35	basal_like_1	CTSC	UP	30	basal_like_2	IGSF6	UP	52	immunomodulatory	SC65	UP	41	mesenchymal	RBM5	UP	14	mesenchymal_stem_like	PDZK1IP1	UP	25	luminal_ar
ZNF238	UP	40	basal_like_1	RAB31	UP	30	basal_like_2	LILRB2	UP	47	immunomodulatory	POSTN	UP	42	mesenchymal	LHFP	UP	26	mesenchymal_stem_like	SERF2	UP	25	luminal_ar
UBD	UP	38	basal_like_1	SLC6A14	UP	29	basal_like_2	CDKN2A	UP	42	immunomodulatory	KHDRBS3	UP	44	mesenchymal	CALCRL	UP	13	mesenchymal_stem_like	MPHOSPH6	UP	37	luminal_ar
IFI44	UP	35	basal_like_1	FILIP1L	UP	32	basal_like_2	ZNF267	UP	40	immunomodulatory	FERMT2	UP	46	mesenchymal	RCAN2	UP	20	mesenchymal_stem_like	DHRS2	UP	36	luminal_ar
CXCL13	UP	41	basal_like_1	ADCY7	UP	29	basal_like_2	TCIRG1	UP	39	immunomodulatory	TMSB15A	UP	44	mesenchymal	LRRC17	UP	22	mesenchymal_stem_like	M6PRBP1	UP	27	luminal_ar
CENPA	UP	37	basal_like_1	AHNAK2	UP	31	basal_like_2	IKZF1	UP	40	immunomodulatory	GTF2A1L	UP	40	mesenchymal	SPRY1	UP	23	mesenchymal_stem_like	LRRC17	UP	26	luminal_ar
CENPE	UP	35	basal_like_1	CKMT1B	UP	28	basal_like_2	TRIM22	UP	61	immunomodulatory	WWP2	UP	43	mesenchymal	SPRY2	UP	18	mesenchymal_stem_like	IRX5	UP	29	luminal_ar
CENPF	UP	35	basal_like_1	SERPINA3	UP	31	basal_like_2	IRF9	UP	48	immunomodulatory	PRKCDBP	UP	39	mesenchymal	CDKN1A	UP	13	mesenchymal_stem_like	CCNO	UP	35	luminal_ar
NES	UP	37	basal_like_1	COL1A1	UP	35	basal_like_2	BTN3A3	UP	63	immunomodulatory	SLC6A14	UP	37	mesenchymal	RAMP2	UP	17	mesenchymal_stem_like	CRISP3	UP	24	luminal_ar
IFI44L	UP	40	basal_like_1	COL1A2	UP	37	basal_like_2	BTN2A2	UP	47	immunomodulatory	CHRM3	UP	45	mesenchymal	RAMP3	UP	18	mesenchymal_stem_like	AKR1A1	UP	34	luminal_ar
CDC42EP1	UP	39	basal_like_1	COL3A1	UP	37	basal_like_2	IFITM3	UP	38	immunomodulatory	AHNAK2	UP	41	mesenchymal	CDKN1C	UP	17	mesenchymal_stem_like	HMG20B	UP	24	luminal_ar
PTP4A3	UP	39	basal_like_1	COL4A5	UP	35	basal_like_2	CD52	UP	61	immunomodulatory	FKBP9	UP	37	mesenchymal	RTN3	UP	15	mesenchymal_stem_like	ATP8A1	UP	23	luminal_ar
CHI3L1	UP	48	basal_like_1	COL5A1	UP	33	basal_like_2	IFI30	UP	61	immunomodulatory	SCRG1	UP	46	mesenchymal	TRIM22	UP	17	mesenchymal_stem_like	SPON1	UP	22	luminal_ar
NUDT3	UP	34	basal_like_1	COL5A2	UP	37	basal_like_2	TRIM38	UP	50	immunomodulatory	OSBPL1A	UP	41	mesenchymal	ABCA8	UP	25	mesenchymal_stem_like	PGRMC2	UP	30	luminal_ar
CHI3L2	UP	45	basal_like_1	COL10A1	UP	37	basal_like_2	SEMA4D	UP	58	immunomodulatory	SERPINA3	UP	39	mesenchymal	CDO1	UP	21	mesenchymal_stem_like	LYPLA1	UP	24	luminal_ar
FAM107A	UP	34	basal_like_1	COL11A1	UP	35	basal_like_2	UBD	UP	70	immunomodulatory	COL1A2	UP	43	mesenchymal	KLF2	UP	23	mesenchymal_stem_like	VAV3	UP	32	luminal_ar
PADI2	UP	50	basal_like_1	LRRC15	UP	31	basal_like_2	BATF	UP	38	immunomodulatory	COL2A1	UP	45	mesenchymal	CITED2	UP	13	mesenchymal_stem_like	PECI	UP	38	luminal_ar
OIP5	UP	35	basal_like_1	ADM	UP	33	basal_like_2	IFI44	UP	53	immunomodulatory	COL3A1	UP	38	mesenchymal	CORO2B	UP	21	mesenchymal_stem_like	CLGN	UP	27	luminal_ar
SCRG1	UP	52	basal_like_1	CPE	UP	29	basal_like_2	CXCL13	UP	70	immunomodulatory	COL4A1	UP	37	mesenchymal	DLC1	UP	22	mesenchymal_stem_like	SEC23B	UP	33	luminal_ar
CKB	UP	36	basal_like_1	CRABP2	UP	37	basal_like_2	GNLY	UP	58	immunomodulatory	COL4A2	UP	39	mesenchymal	MYL9	UP	23	mesenchymal_stem_like	SEMA3C	UP	30	luminal_ar
CKMT1B	UP	36	basal_like_1	CST6	UP	33	basal_like_2	IFITM2	UP	37	immunomodulatory	COL5A1	UP	43	mesenchymal	PGCP	UP	14	mesenchymal_stem_like	CIB1	UP	32	luminal_ar
CKS1B	UP	43	basal_like_1	CSTA	UP	31	basal_like_2	IGF2BP2	UP	39	immunomodulatory	COL5A2	UP	40	mesenchymal	BASP1	UP	19	mesenchymal_stem_like	NEBL	UP	22	luminal_ar
CKS2	UP	37	basal_like_1	CSTB	UP	28	basal_like_2	CUGBP2	UP	40	immunomodulatory	COL6A1	UP	38	mesenchymal	SPON2	UP	16	mesenchymal_stem_like	BATF	UP	34	luminal_ar
RPL39L	UP	35	basal_like_1	CTSK	UP	30	basal_like_2	CXCR6	UP	47	immunomodulatory	COL6A2	UP	45	mesenchymal	SPON1	UP	23	mesenchymal_stem_like	TM9SF1	UP	27	luminal_ar
SERPINA3	UP	38	basal_like_1	CXADR	UP	29	basal_like_2	SLC12A7	UP	36	immunomodulatory	COL6A3	UP	41	mesenchymal	PGRMC2	UP	13	mesenchymal_stem_like	AGR2	UP	39	luminal_ar
COPA	UP	34	basal_like_1	DCN	UP	29	basal_like_2	CTSC	UP	59	immunomodulatory	COL8A2	UP	37	mesenchymal	CD52	UP	17	mesenchymal_stem_like	SLC19A2	UP	31	luminal_ar
CLDN4	UP	36	basal_like_1	AEBP1	UP	28	basal_like_2	VAMP5	UP	38	immunomodulatory	COL9A2	UP	40	mesenchymal	OLFM1	UP	14	mesenchymal_stem_like	ARFGEF2	UP	23	luminal_ar
CLDN3	UP	40	basal_like_1	DEFB1	UP	35	basal_like_2	HPSE	UP	37	immunomodulatory	COL9A3	UP	54	mesenchymal	CLEC10A	UP	18	mesenchymal_stem_like	TACC2	UP	24	luminal_ar
CLDN7	UP	39	basal_like_1	C14orf147	UP	31	basal_like_2	LILRB1	UP	49	immunomodulatory	COL10A1	UP	47	mesenchymal	FST	UP	16	mesenchymal_stem_like	SCGN	UP	22	luminal_ar
CRABP1	UP	46	basal_like_1	DHCR24	UP	39	basal_like_2	ADAM28	UP	51	immunomodulatory	COL11A1	UP	48	mesenchymal	SEC23A	UP	19	mesenchymal_stem_like	MXD4	UP	22	luminal_ar
CRABP2	UP	37	basal_like_1	JAG1	UP	28	basal_like_2	HCP5	UP	60	immunomodulatory	COL15A1	UP	38	mesenchymal	VTI1B	UP	13	mesenchymal_stem_like	TRIM3	UP	25	luminal_ar
CRYAB	UP	41	basal_like_1	EGFR	UP	31	basal_like_2	FGL2	UP	63	immunomodulatory	COMP	UP	40	mesenchymal	CRTAP	UP	18	mesenchymal_stem_like	POSTN	UP	26	luminal_ar
CTPS	UP	34	basal_like_1	SERPINB1	UP	31	basal_like_2	SMPDL3A	UP	40	immunomodulatory	LRRC15	UP	39	mesenchymal	VAT1	UP	15	mesenchymal_stem_like	YKT6	UP	28	luminal_ar
CTSS	UP	34	basal_like_1	ELF4	UP	28	basal_like_2	IFI44L	UP	62	immunomodulatory	ADM	UP	39	mesenchymal	CEBPA	UP	13	mesenchymal_stem_like	CES1	UP	28	luminal_ar
GPR125	UP	37	basal_like_1	AK3L1	UP	31	basal_like_2	LILRB4	UP	42	immunomodulatory	CP	UP	37	mesenchymal	SEMA3C	UP	22	mesenchymal_stem_like	RAI2	UP	23	luminal_ar
DSP	UP	36	basal_like_1	F3	UP	31	basal_like_2	PIM2	UP	38	immunomodulatory	CRABP1	UP	37	mesenchymal	APPBP2	UP	17	mesenchymal_stem_like	IQGAP2	UP	38	luminal_ar
SLC26A2	UP	34	basal_like_1	FABP5	UP	30	basal_like_2	BTN3A2	UP	57	immunomodulatory	CRYAB	UP	58	mesenchymal	FBLN5	UP	22	mesenchymal_stem_like	SEC24A	UP	22	luminal_ar
DTNA	UP	37	basal_like_1	FAP	UP	31	basal_like_2	BTN3A1	UP	50	immunomodulatory	VCAN	UP	38	mesenchymal	NEBL	UP	13	mesenchymal_stem_like	PGRMC1	UP	27	luminal_ar
EFNA4	UP	34	basal_like_1	FBLN1	UP	28	basal_like_2	CORO1A	UP	60	immunomodulatory	CSPG4	UP	44	mesenchymal	PROCR	UP	14	mesenchymal_stem_like	DHRS4	UP	22	luminal_ar
ELF5	UP	53	basal_like_1	FHL2	UP	34	basal_like_2	PSIP1	UP	36	immunomodulatory	CSRP1	UP	37	mesenchymal	ARL6IP5	UP	14	mesenchymal_stem_like	GADD45G	UP	26	luminal_ar
APOBEC3A	UP	34	basal_like_1	SULF1	UP	31	basal_like_2	MAP4K1	UP	44	immunomodulatory	CSRP2	UP	45	mesenchymal	CXCL13	UP	13	mesenchymal_stem_like	MAGED2	UP	34	luminal_ar
EN1	UP	59	basal_like_1	FOSL2	UP	28	basal_like_2	SP140	UP	49	immunomodulatory	CTGF	UP	55	mesenchymal	NPC2	UP	16	mesenchymal_stem_like	COPS8	UP	23	luminal_ar
SLC29A1	UP	37	basal_like_1	ALOX5	UP	30	basal_like_2	USP18	UP	46	immunomodulatory	LOC151162	UP	37	mesenchymal	SORBS1	UP	22	mesenchymal_stem_like	SMPDL3A	UP	36	luminal_ar
AK2	UP	34	basal_like_1	PANX1	UP	28	basal_like_2	VSIG4	UP	39	immunomodulatory	CXADR	UP	41	mesenchymal	IFITM2	UP	15	mesenchymal_stem_like	PDIA5	UP	25	luminal_ar
EPHB3	UP	35	basal_like_1	ANXA8L2	UP	28	basal_like_2	KCTD12	UP	42	immunomodulatory	AEBP1	UP	40	mesenchymal	TXNIP	UP	21	mesenchymal_stem_like	TMED2	UP	26	luminal_ar
ALAS1	UP	35	basal_like_1	KLK5	UP	32	basal_like_2	CKS2	UP	36	immunomodulatory	GPR125	UP	43	mesenchymal	PDPN	UP	16	mesenchymal_stem_like	LMAN2	UP	24	luminal_ar
FABP5	UP	36	basal_like_1	MXRA5	UP	33	basal_like_2	ARAP2	UP	39	immunomodulatory	DYNC1I1	UP	42	mesenchymal	POSTN	UP	18	mesenchymal_stem_like	ERP29	UP	22	luminal_ar
FGF13	UP	34	basal_like_1	GALNT2	UP	29	basal_like_2	CLU	UP	48	immunomodulatory	DPYSL2	UP	42	mesenchymal	SCGB1D2	UP	14	mesenchymal_stem_like	ACOT2	UP	35	luminal_ar
FGFR2	UP	34	basal_like_1	EGFL6	UP	30	basal_like_2	CLIC2	UP	44	immunomodulatory	JAG1	UP	38	mesenchymal	CUGBP2	UP	18	mesenchymal_stem_like	C10orf116	UP	32	luminal_ar
PUF60	UP	34	basal_like_1	KRT23	UP	28	basal_like_2	CCR1	UP	49	immunomodulatory	DSC2	UP	40	mesenchymal	CES1	UP	16	mesenchymal_stem_like	ILVBL	UP	31	luminal_ar
ZHX2	UP	34	basal_like_1	RAI14	UP	33	basal_like_2	CCR2	UP	57	immunomodulatory	DSC3	UP	41	mesenchymal	CGRRF1	UP	13	mesenchymal_stem_like	KDELR2	UP	22	luminal_ar
BTBD3	UP	37	basal_like_1	GATA3	UP	36	basal_like_2	CCR5	UP	53	immunomodulatory	DSG2	UP	40	mesenchymal	GNB5	UP	13	mesenchymal_stem_like	DSTN	UP	22	luminal_ar
TPX2	UP	42	basal_like_1	GBP2	UP	28	basal_like_2	CCR7	UP	56	immunomodulatory	DSG3	UP	37	mesenchymal	MGEA5	UP	13	mesenchymal_stem_like	SMA4	UP	26	luminal_ar
FOXM1	UP	36	basal_like_1	MYOF	UP	30	basal_like_2	CRABP2	UP	39	immunomodulatory	DSP	UP	39	mesenchymal	RAI2	UP	19	mesenchymal_stem_like	SMA5	UP	25	luminal_ar
