ID	GeneRef	Chr	Symbol	Average log fold-change
ILMN_1651282	NM_000494.3	10	COL17A1	6.53
ILMN_2413323	NM_001012513.1	18	GRP	6.22
ILMN_1676822	NM_032411.1	2	C2orf40	6.03
ILMN_1799105	NM_000494.3	10	COL17A1	6.03
ILMN_2138801	NM_003722.3	3	TP73L	6.00
ILMN_2067656	NM_001759.2	12	CCND2	5.95
ILMN_1788131	NM_057157.1	10	CYP26A1	5.75
ILMN_1667081	NM_001759.2	12	CCND2	5.72
ILMN_1676088	NM_198080.2	12	MSRB3	5.72
ILMN_1787750	NM_001004196.2	3	CD200	5.69
ILMN_1656248	NM_024769.2	11	ASAM	5.50
ILMN_1810054	NM_001299.4	19	CNN1	5.49
ILMN_1758461	NM_006011.3	15	ST8SIA2	5.44
ILMN_1772869	NM_080826.1	20	C20orf82	5.35
ILMN_1676728	NM_206539.1	6	DLK2	5.26
ILMN_1671928	NM_000313.1	3	PROS1	5.24
ILMN_1811426	NM_175861.2	12	TMTC1	5.17
ILMN_1691476	NM_053032.2	3	MYLK	5.14
ILMN_1678170	NM_000902.3	3	MME	5.13
ILMN_1777199	NM_001012513.1	18	GRP	5.11
ILMN_2104295	NM_152390.1	2	TMEM178	5.11
ILMN_1809364	NM_002527.3	12	NTF3	5.04
ILMN_2061435	NR_002766.1	14	MEG3	5.02
ILMN_1804929	NM_000916.3	3	OXTR	5.01
ILMN_1741603	NM_014618.2	9	DBC1	4.91
ILMN_1670490	NM_001006625.1	1	PDPN	4.87
ILMN_1658356	NM_015430.2	11	DKFZP586H2123	4.87
ILMN_1701933	NM_007308.1	4	SNCA	4.82
ILMN_1665035	NM_000526.3	17	KRT14	4.82
ILMN_1736670	NM_005398.4	10	PPP1R3C	4.72
ILMN_2398159	NM_013253.4	11	DKK3	4.68
ILMN_1652065	NM_004137.2	5	KCNMB1	4.67
ILMN_1678403	NM_152390.1	2	TMEM178	4.66
ILMN_1702363	NM_015170.1	8	SULF1	4.66
ILMN_1673566	NM_006988.3	21	ADAMTS1	4.66
ILMN_1745607	NM_000014.4	12	A2M	4.65
ILMN_1755215	NM_001030060.1	6	SAMD5	4.62
ILMN_1815673	NM_015881.5	11	DKK3	4.59
ILMN_1812070	NM_000927.3	7	ABCB1	4.59
ILMN_2065773	NM_003020.1	15	SCG5	4.56
ILMN_1777998	NM_014882.2	2	ARHGAP25	4.53
ILMN_1910180				4.53
ILMN_1796734	NM_003118.2	5	SPARC	4.52
ILMN_1671149	NR_002766.1	14	MEG3	4.47
ILMN_1801632	NM_000424.3	12	KRT5	4.47
ILMN_1757604	NM_213674.1	9	TPM2	4.47
ILMN_1696434	NM_005559.2	18	LAMA1	4.47
ILMN_2332553	NM_198080.2	12	MSRB3	4.44
ILMN_1712849	NM_032572.2	14	RNASE7	4.44
ILMN_1706051	NM_152666.1	1	PLD5	4.44
ILMN_2197128	NM_145260.2	2	OSR1	4.43
ILMN_2400935	NM_003186.3	11	TAGLN	4.42
ILMN_2076600	NM_004867.3	X	ITM2A	4.38
ILMN_1769575	NM_032801.3	11	JAM3	4.38
ILMN_1660086	NM_002474.2	16	MYH11	4.37
ILMN_1793888	NM_002639.3	18	SERPINB5	4.37
ILMN_1706783	NM_001001522.1	11	TAGLN	4.37
ILMN_1655405	NM_153334.3	22	SCARF2	4.33
ILMN_1723521	NM_018836.3	1	AJAP1	4.31
ILMN_1755657	NM_017805.2	19	RASIP1	4.31
ILMN_1761322	NM_025135.2	18	FHOD3	4.30
ILMN_1795325	NM_001615.3	2	ACTG2	4.28
ILMN_1794501	NM_005329.2	16	HAS3	4.25
ILMN_1766707	NM_014443.2	5	IL17B	4.21
ILMN_1711157	NM_004557.3	6	NOTCH4	4.20
ILMN_1653934	XR_019109.1		LOC650517	4.17
ILMN_1772910	NM_002048.1	9	GAS1	4.16
ILMN_1666502	NM_018013.3	6	SOBP	4.13
ILMN_1790761	NM_006475.1	13	POSTN	4.13
ILMN_1779875	NM_006288.2	11	THY1	4.13
ILMN_1703913	NM_001723.4	6	DST	4.13
ILMN_2047460	NM_198545.3	1	C1orf187	4.12
ILMN_1682332	NM_016815.2	2	GYPC	4.11
ILMN_1907544				4.11
ILMN_1668039	NM_016815.2	2	GYPC	4.09
ILMN_2169761	NM_153634.2	12	CPNE8	4.08
ILMN_1744381	NM_000602.1	7	SERPINE1	4.08
ILMN_1666775	NM_000719.5	12	CACNA1C	4.07
ILMN_1783149	NM_022124.3	10	CDH23	4.06
ILMN_2350634	NM_001039348.1	2	EFEMP1	4.02
ILMN_1801516	NM_002081.1	2	GPC1	4.02
ILMN_1743373	NM_005618.3	6	DLL1	3.99
ILMN_1779071	NM_005103.3	11	FEZ1	3.99
ILMN_1796455	NM_001036.2	15	RYR3	3.99
ILMN_2393765	NM_020070.2	22	IGLL1	3.97
ILMN_2149226	NM_001753.3	7	CAV1	3.93
ILMN_1725193	NM_000597.2	2	IGFBP2	3.91
ILMN_1679391	NM_153267.3	9	MAMDC2	3.85
ILMN_1717519	NM_020433.4	20	JPH2	3.82
ILMN_1716370	NM_032865.4		TNS4	3.82
ILMN_1696054	NM_198274.2	2	SMYD1	3.81
ILMN_1671703	NM_001613.1	10	ACTA2	3.80
ILMN_1668760	NM_005329.2	16	HAS3	3.80
ILMN_2189668	NM_018159.2	X	NUDT11	3.79
ILMN_1854469				3.79
ILMN_1772612	NM_012098.2	9	ANGPTL2	3.79
ILMN_1722294	NM_153634.2	12	CPNE8	3.77
ILMN_1688892	NM_198129.1	18	LAMA3	3.76
ILMN_1652199	XM_936253.1		LOC642113	3.76
ILMN_1775405	NM_005738.3	7	ARL4A	3.76
ILMN_1844593				3.75
ILMN_2407314	NM_057157.1	10	CYP26A1	3.75
ILMN_1782419	NM_004126.3	7	GNG11	3.75
ILMN_1766165	NM_000345.2	4	SNCA	3.74
ILMN_1803956	NM_033254.2	3	BOC	3.73
ILMN_1791890	NM_006108.2	11	SPON1	3.72
ILMN_1772824	NM_032642.2	12	WNT5B	3.72
ILMN_1687583	NM_001753.3	7	CAV1	3.70
ILMN_1739508	XM_941953.1		LOC652493	3.69
ILMN_1705066	NM_152322.2	12	BTBD11	3.69
ILMN_1675979	NM_001003793.1	3	RBMS3	3.69
ILMN_1740938	NM_000041.2	19	APOE	3.67
ILMN_1779333	NM_001031679.1	12	MSRB3	3.67
ILMN_1743103	NM_014631.2	10	SH3PXD2A	3.66
ILMN_1692261	NM_004441.3	3	EPHB1	3.66
ILMN_1655468	NM_001944.2	18	DSG3	3.66
ILMN_1727087	NM_000165.3	6	GJA1	3.65
ILMN_2406035	NM_198129.1	18	LAMA3	3.62
ILMN_1770038	NM_005559.2	18	LAMA1	3.61
ILMN_1802109	XM_001134449.1	2	KBTBD9	3.61
ILMN_2072101	NM_032623.3	4	OSAP	3.57
ILMN_2336094	NM_001080477.1	4	ODZ3	3.56
ILMN_1717765	NM_018159.3	X	NUDT11	3.55
ILMN_1775501	NM_000576.2	2	IL1B	3.54
ILMN_2140510	NM_033495.2	X	KLHL13	3.53
ILMN_1802654	NM_031302.3	12	GLT8D2	3.53
ILMN_1796629	NM_001957.1	4	EDNRA	3.51
ILMN_1705153	NM_021076.2	22	NEFH	3.51
ILMN_2234697	NM_018476.3	X	BEX1	3.51
ILMN_1655611	NM_173485.4	20	TSHZ2	3.50
ILMN_1789733	NM_015526.1	19	CLIP3	3.50
ILMN_1736178	NM_001129.3	7	AEBP1	3.50
ILMN_1779558	NM_000820.1	13	GAS6	3.48
ILMN_1658709	NM_002291.1	7	LAMB1	3.48
ILMN_1750181	NM_017899.2	12	TESC	3.47
ILMN_1735877	NM_004105.3	2	EFEMP1	3.46
ILMN_1769615	NM_013231.4	14	FLRT2	3.45
ILMN_1785265	NM_005032.3	X	PLS3	3.43
ILMN_1681886	NM_007038.2	21	ADAMTS5	3.43
ILMN_1805192	NM_033397.2	10	KIAA1754	3.43
ILMN_1684108	NM_016358.1	5	IRX4	3.42
ILMN_1666122	NM_020733.1	3	HEG1	3.41
ILMN_2298301	NM_001717.2	15	BNC1	3.41
ILMN_1715748	NM_001458.3	7	FLNC	3.41
ILMN_1784749	NM_000820.1	13	GAS6	3.39
ILMN_1793025	NM_032623.2	4	OSAP	3.38
ILMN_2396875	NM_001013398.1	7	IGFBP3	3.35
ILMN_2369403	NM_001037293.1	9	PALM2	3.35
ILMN_1789624	NM_003289.3	9	TPM2	3.35
ILMN_1694840	NM_002380.3	8	MATN2	3.35
ILMN_1745077	NM_006533.2	19	MIA	3.33
ILMN_1666022	NM_003840.3	8	TNFRSF10D	3.33
ILMN_2376484	NM_018534.3	2	NRP2	3.32
ILMN_1651610	XM_001126202.1		LOC730525	3.31
ILMN_1759652	NM_006365.1	1	C1orf61	3.31
ILMN_1705231	NM_005630.1	3	SLCO2A1	3.31
ILMN_1720513	NM_015559.1	18	SETBP1	3.30
ILMN_1773546	NM_054031.2	11	MRGPRX3	3.30
ILMN_1680874	NM_178012.3	6	TUBB2B	3.30
ILMN_1738147	NM_006617.1	1	NES	3.30
ILMN_2146761	NM_001444.1	8	FABP5	3.29
ILMN_2105919	NM_002006.3	4	FGF2	3.29
ILMN_1721247	NM_004693.2	12	KRT75	3.28
ILMN_2315979	NM_030915.1	2	LBH	3.27
ILMN_2238302	NM_001723.3	6	DST	3.26
ILMN_1733157	NM_018676.2	13	THSD1	3.26
ILMN_2368834	NM_001040114.1	16	MYH11	3.25
ILMN_2097997	NM_176891.3	9	IFNE1	3.25
ILMN_1763433	NM_015163.4	14	TRIM9	3.25
ILMN_1724994	NM_001846.2	13	COL4A2	3.25
ILMN_1774685	NM_006850.2	1	IL24	3.24
ILMN_1675331	NM_006210.1	19	PEG3	3.23
ILMN_2094396	NM_032270.2	1	LRRC8C	3.23
ILMN_1721541	NM_007191.2	12	WIF1	3.23
ILMN_1716397	NM_178834.3	11	LAYN	3.22
ILMN_1754126	XM_375698.3	1	SH2D5	3.22
ILMN_1675268	NM_002334.1	11	LRP4	3.21
ILMN_1783276	NM_144573.3	1	NEXN	3.20
ILMN_2102330	NM_005202.1	1	COL8A2	3.20
ILMN_1730995	NM_001001936.1	10	AFAP1L2	3.20
ILMN_1718387	NM_000427.1	1	LOR	3.20
ILMN_1880012	NM_003966.2	5	SEMA5A	3.20
ILMN_1761941	NM_016613.5	4	C4orf18	3.19
ILMN_2359945	NM_001025195.1	16	CES1	3.18
ILMN_1714523	NM_138737.1	X	HEPH	3.17
ILMN_1662419	NM_001864.2	19	COX7A1	3.17
ILMN_2218758	NM_022351.2	8	EFCBP1	3.17
ILMN_1743933	NM_020856.2	19	TSHZ3	3.17
ILMN_2149292	NM_018306.2	3	TMEM40	3.17
ILMN_1739325	XM_941810.2		LOC284023	3.17
ILMN_1789196	NM_213674.1	9	TPM2	3.16
ILMN_2082585	NM_003068.3	8	SNAI2	3.16
ILMN_2094875	NM_000927.3	7	ABCB1	3.16
ILMN_2120695	NM_004615.2	X	TSPAN7	3.16
ILMN_1675062	NM_006097.3	20	MYL9	3.15
ILMN_1656927	NM_003966.1	5	SEMA5A	3.14
ILMN_2112638	NM_153366.2		SVEP1	3.13
ILMN_1734781	NM_176891.3	9	IFNE1	3.13
ILMN_1653028	NM_001845.4	13	COL4A1	3.11
ILMN_1669123	NM_198545.2	1	C1orf187	3.11
ILMN_1751161	NM_000094.2	3	COL7A1	3.10
ILMN_1669820	NM_005555.3	12	KRT6B	3.10
ILMN_1695946	NM_001013642.2	1	LOC388610	3.10
ILMN_1727671	NM_018984.2	12	SSH1	3.09
ILMN_1740942	XM_379298.3	4	LOC401164	3.08
ILMN_1658483	NM_000575.3	2	IL1A	3.07
ILMN_1672350	NM_021219.2	21	JAM2	3.07
ILMN_1739496	NM_006902.3	1	PRRX1	3.06
ILMN_2084836	NM_006091.2	15	CORO2B	3.06
ILMN_2105441	NM_144646.2	4	IGJ	3.05
ILMN_1801205	NM_001005340.1	7	GPNMB	3.05
ILMN_1700081	NM_013409.1	5	FST	3.04
ILMN_1746085	NM_000598.4	7	IGFBP3	3.04
ILMN_1751465	NM_001717.2	15	BNC1	3.03
ILMN_1679185	NM_016269.2	4	LEF1	3.03
ILMN_1902308				3.01
ILMN_1686555	NM_153047.1	6	FYN	3.01
ILMN_2364768	NM_053026.3	3	MYLK	3.00
ILMN_1756595	NM_018986.3	4	SH3TC1	3.00
ILMN_1726204	NM_007281.1	4	SCRG1	3.00
ILMN_1768301	NM_004449.3	21	ERG	3.00
ILMN_1717702	NM_031460.3	6	KCNK17	3.00
ILMN_1698885	NM_007050.5	20	PTPRT	3.00
ILMN_2213136	NM_016269.2	4	LEF1	2.99
ILMN_1765310	NM_080390.3	X	TCEAL2	2.99
ILMN_1738552	NM_004172.3	5	SLC1A3	2.99
ILMN_1789507	NM_001854.3	1	COL11A1	2.98
ILMN_1728734	NM_002781.2	19	PSG5	2.98
ILMN_1764577	NM_002405.2	22	MFNG	2.98
ILMN_1773388	NM_025113.1	13	C13orf18	2.96
ILMN_1808245	NM_153225.2	8	RPESP	2.95
ILMN_1675992	NM_001723.4	6	DST	2.95
ILMN_1675797	NM_017549.3	7	EPDR1	2.95
ILMN_1746465	NM_014344.2	11	FJX1	2.95
ILMN_1657199	NM_001005389.1	1	NFASC	2.94
ILMN_1692058	NM_002487.2	15	NDN	2.94
ILMN_1716608	NM_002506.2	1	NGF	2.93
ILMN_1701402	NM_153687.2	12	IKIP	2.93
ILMN_1765363	NM_024423.1	18	DSC3	2.92
ILMN_1787265	NM_032772.3	10	ZNF503	2.91
ILMN_1719883	NM_021187.2	19	CYP4F11	2.91
ILMN_1691980	NM_032581.2	7	FAM126A	2.91
ILMN_1672536	NM_006486.2	22	FBLN1	2.91
ILMN_1712896	NM_006350.2	5	FST	2.90
ILMN_1665040	NM_001003793.1	3	RBMS3	2.90
ILMN_1802411	NM_181501.1	5	ITGA1	2.90
ILMN_1699574	NM_003873.4	10	NRP1	2.89
ILMN_1698685	NM_002380.3	8	MATN2	2.89
ILMN_1772627	NM_001040101.1	4	D4S234E	2.89
ILMN_2169261	NM_003282.2	11	TNNI2	2.89
ILMN_1704247	NM_000227.2	18	LAMA3	2.88
ILMN_1808122	XR_019346.1		LOC652377	2.88
ILMN_1806733	NM_130445.2	21	COL18A1	2.86
ILMN_2196550	NM_025113.1	13	C13orf18	2.86
ILMN_1655740	NM_003068.3	8	SNAI2	2.85
ILMN_2404917	NM_032550.2	10	AFAP1L2	2.85
ILMN_1789638	NM_032793.2	1	MFSD2	2.85
ILMN_1780060	NM_003665.2	1	FCN3	2.84
ILMN_1713744	NM_020215.2	14	C14orf132	2.84
ILMN_1673880	NM_004105.3	2	EFEMP1	2.84
ILMN_1660806	NM_001321.1	12	CSRP2	2.84
ILMN_2368318	NM_001042729.1	1	FGR	2.83
ILMN_1657435	NM_176870.2	16	MT1M	2.83
ILMN_2249920	NM_002037.3	6	FYN	2.83
ILMN_1721876	NM_003255.4	17	TIMP2	2.83
ILMN_1710268	NM_024697.1	3	ZNF385D	2.82
ILMN_1801833	NM_031305.2	4	ARHGAP24	2.82
ILMN_2062701	NM_002048.1	9	GAS1	2.82
ILMN_2052891	NM_000297.2	4	PKD2	2.82
ILMN_1803211	NM_012168.4	1	FBXO2	2.82
ILMN_1672611	NM_001797.2	16	CDH11	2.82
ILMN_1754103	NM_005602.4	3	CLDN11	2.81
ILMN_2404256	NM_007050.4	20	PTPRT	2.81
ILMN_1779685	NM_001094.4	17	ACCN1	2.81
ILMN_1782057	NM_020452.2	1	ATP8B2	2.80
ILMN_1732296	NM_002167.2	1	ID3	2.80
ILMN_1742332	NM_138444.3	13	KCTD12	2.79
ILMN_1792389	NM_152470.2	18	RNF165	2.79
ILMN_1670899	NM_001999.3	5	FBN2	2.79
ILMN_1718295	NM_198993.2	17	STAC2	2.79
ILMN_1701461	NM_000362.4	22	TIMP3	2.79
ILMN_2215989	NM_005382.1	8	NEFM	2.78
ILMN_2411781	NM_001042723.1	19	RYR1	2.78
ILMN_1784459	NM_002422.3	11	MMP3	2.78
ILMN_1691376	NM_000214.1	20	JAG1	2.78
