V1	V2
1	PT089_P1_A01	epithelial
2	PT089_P1_A02	epithelial
3	PT089_P1_A03	epithelial
4	PT089_P1_A04	macrophage
5	PT089_P1_A05	macrophage
6	PT089_P1_A06	epithelial
7	PT089_P1_A07	epithelial
8	PT089_P1_A08	macrophage
9	PT089_P1_A09	epithelial
10	PT089_P1_A10	epithelial
11	PT089_P1_A12	epithelial
12	PT089_P1_B01	epithelial
13	PT089_P1_B02	stroma
14	PT089_P1_B03	macrophage
15	PT089_P1_B04	epithelial
16	PT089_P1_B06	stroma
17	PT089_P1_B07	epithelial
18	PT089_P1_B08	epithelial
19	PT089_P1_B09	macrophage
20	PT089_P1_B11	epithelial
21	PT089_P1_B12	epithelial
22	PT089_P1_C01	stroma
23	PT089_P1_C02	macrophage
24	PT089_P1_C03	epithelial
25	PT089_P1_C04	stroma
26	PT089_P1_C05	macrophage
27	PT089_P1_C06	macrophage
28	PT089_P1_C07	macrophage
29	PT089_P1_C08	macrophage
30	PT089_P1_C09	macrophage
31	PT089_P1_C10	epithelial
32	PT089_P1_C11	macrophage
33	PT089_P1_C12	epithelial
34	PT089_P1_D01	macrophage
35	PT089_P1_D02	epithelial
36	PT089_P1_D03	epithelial
37	PT089_P1_D04	macrophage
38	PT089_P1_D05	macrophage
39	PT089_P1_D06	macrophage
40	PT089_P1_D07	macrophage
41	PT089_P1_D08	macrophage
42	PT089_P1_D09	epithelial
43	PT089_P3_A03_S291	epithelial
44	PT089_P3_A05_S293	epithelial
45	PT089_P3_A06_S294	epithelial
46	PT089_P3_A08_S296	epithelial
47	PT089_P3_B01_S301	epithelial
48	PT089_P3_B02_S302	epithelial
49	PT089_P3_B05_S305	epithelial
50	PT089_P3_B06_S306	epithelial
51	PT089_P3_B08_S308	epithelial
52	PT089_P3_B09_S309	epithelial
53	PT089_P3_B10_S310	epithelial
54	PT089_P3_B12_S312	epithelial
55	PT089_P3_C02_S314	epithelial
56	PT089_P3_C03_S315	epithelial
57	PT089_P3_C04_S316	epithelial
58	PT089_P3_C05_S317	epithelial
59	PT089_P3_C10_S322	epithelial
60	PT089_P3_D01_S325	epithelial
61	PT089_P3_D02_S326	epithelial
62	PT089_P3_D03_S327	epithelial
63	PT089_P3_D04_S328	epithelial
64	PT089_P3_D05_S329	epithelial
65	PT089_P3_D08_S332	epithelial
66	PT089_P3_D09_S333	epithelial
67	PT089_P3_D10_S334	epithelial
68	PT089_P3_D12_S336	epithelial
69	PT089_P3_E01_S337	epithelial
70	PT089_P3_E02_S338	epithelial
71	PT089_P3_E04_S340	epithelial
72	PT089_P3_E05_S341	epithelial
73	PT089_P3_E06_S342	epithelial
74	PT089_P3_E07_S343	epithelial
75	PT089_P3_E08_S344	epithelial
76	PT089_P3_E09_S345	epithelial
77	PT089_P3_E10_S346	epithelial
78	PT089_P3_E11_S347	epithelial
79	PT089_P3_F01_S349	epithelial
80	PT089_P3_F02_S350	epithelial
81	PT089_P3_F03_S351	epithelial
82	PT089_P3_F05_S353	epithelial
83	PT089_P3_F06_S354	epithelial
84	PT089_P3_F07_S355	epithelial
85	PT089_P3_F08_S356	epithelial
86	PT089_P3_F09_S357	epithelial
87	PT089_P3_F10_S358	epithelial
88	PT089_P3_F11_S359	epithelial
89	PT089_P3_F12_S360	epithelial
90	PT089_P3_G02_S362	epithelial
91	PT089_P3_G03_S363	epithelial
92	PT089_P3_G04_S364	epithelial
93	PT089_P3_G05_S365	epithelial
94	PT089_P3_G06_S366	epithelial
95	PT089_P3_G07_S367	epithelial
96	PT089_P3_G08_S368	epithelial
97	PT089_P3_G09_S369	epithelial
98	PT089_P3_G10_S370	epithelial
99	PT089_P3_G12_S372	epithelial
100	PT089_P3_H01_S373	epithelial
101	PT089_P3_H02_S374	epithelial
102	PT089_P3_H03_S375	epithelial
103	PT089_P3_H04_S376	epithelial
104	PT089_P3_H05_S377	epithelial
105	PT089_P3_H09_S381	epithelial
106	PT089_P3_H10_S382	epithelial
107	PT089_P3_H11_S383	epithelial
108	PT089_P3_H12_S384	epithelial
109	PT089_P7_A01_S1	stroma
110	PT089_P7_A02_S2	epithelial
111	PT089_P7_A03_S3	epithelial
112	PT089_P7_A04_S4	epithelial
113	PT089_P7_A05_S5	stroma
114	PT089_P7_A06_S6	epithelial
115	PT089_P7_A07_S7	epithelial
116	PT089_P7_A08_S8	epithelial
117	PT089_P7_A09_S9	epithelial
118	PT089_P7_A10_S10	epithelial
119	PT089_P7_A11_S11	epithelial
120	PT089_P7_A12_S12	epithelial
121	PT089_P7_B01_S13	epithelial
122	PT089_P7_B02_S14	stroma
123	PT089_P7_B03_S15	epithelial
124	PT089_P7_B04_S16	epithelial
125	PT089_P7_B05_S17	epithelial
126	PT089_P7_B06_S18	epithelial
127	PT089_P7_B07_S19	epithelial
128	PT089_P7_B08_S20	epithelial
129	PT089_P7_B09_S21	epithelial
130	PT089_P7_B10_S22	epithelial
131	PT089_P7_B11_S23	epithelial
132	PT089_P7_B12_S24	epithelial
133	PT089_P7_C01_S25	epithelial
134	PT089_P7_C02_S26	epithelial
135	PT089_P7_C03_S27	epithelial
136	PT089_P7_C04_S28	epithelial
137	PT089_P7_C05_S29	epithelial
138	PT089_P7_C06_S30	epithelial
139	PT089_P7_C07_S31	stroma
140	PT089_P7_C08_S32	epithelial
141	PT089_P7_C09_S33	epithelial
142	PT089_P7_C10_S34	epithelial
143	PT089_P7_C11_S35	epithelial
144	PT089_P7_C12_S36	stroma
145	PT089_P7_D02_S38	epithelial
146	PT089_P7_D03_S39	epithelial
147	PT089_P7_D05_S41	epithelial
148	PT089_P7_D06_S42	epithelial
149	PT089_P7_D07_S43	epithelial
150	PT089_P7_D08_S44	epithelial
151	PT089_P7_D09_S45	stroma
152	PT089_P7_D10_S46	epithelial
153	PT089_P7_D11_S47	epithelial
154	PT089_P7_D12_S48	stroma
155	PT089_P7_E01_S49	epithelial
156	PT089_P7_E02_S50	epithelial
157	PT089_P7_E03_S51	epithelial
158	PT089_P7_E04_S52	epithelial
159	PT089_P7_E05_S53	epithelial
160	PT089_P7_E06_S54	epithelial
161	PT089_P7_E07_S55	epithelial
162	PT089_P7_E08_S56	epithelial
163	PT089_P7_E09_S57	stroma
164	PT089_P7_E10_S58	epithelial
165	PT089_P7_E11_S59	epithelial
166	PT089_P7_E12_S60	stroma
167	PT089_P7_F02_S62	epithelial
168	PT089_P7_F03_S63	epithelial
169	PT089_P7_F04_S64	epithelial
170	PT089_P7_F05_S65	epithelial
171	PT089_P7_F06_S66	epithelial
172	PT089_P7_F07_S67	stroma
173	PT089_P7_F08_S68	epithelial
174	PT089_P7_F09_S69	epithelial
175	PT089_P7_F10_S70	epithelial
176	PT089_P7_F11_S71	epithelial
177	PT089_P7_F12_S72	epithelial
178	PT089_P7_G01_S73	epithelial
179	PT089_P7_G02_S74	epithelial
180	PT089_P7_G03_S75	epithelial
181	PT089_P7_G04_S76	stroma
182	PT089_P7_G05_S77	epithelial
183	PT089_P7_G06_S78	stroma
184	PT089_P7_G07_S79	stroma
185	PT089_P7_G08_S80	stroma
186	PT089_P7_G09_S81	epithelial
187	PT089_P7_G10_S82	epithelial
188	PT089_P7_G11_S83	epithelial
189	PT089_P7_G12_S84	stroma
190	PT089_P9_A01_S97	epithelial
191	PT089_P9_A02_S98	epithelial
192	PT089_P9_A03_S99	epithelial
193	PT089_P9_A04_S100	epithelial
194	PT089_P9_A05_S101	epithelial
195	PT089_P9_A06_S102	epithelial
196	PT089_P9_A07_S103	stroma
197	PT089_P9_A08_S104	epithelial
198	PT089_P9_A09_S105	epithelial
199	PT089_P9_A10_S106	epithelial
200	PT089_P9_A11_S107	epithelial
201	PT089_P9_A12_S108	stroma
202	PT089_P9_B01_S109	epithelial
203	PT089_P9_B02_S110	stroma
204	PT089_P9_B03_S111	epithelial
205	PT089_P9_B04_S112	epithelial
206	PT089_P9_B05_S113	epithelial
207	PT089_P9_B06_S114	epithelial
208	PT089_P9_B07_S115	epithelial
209	PT089_P9_B08_S116	stroma
210	PT089_P9_B09_S117	epithelial
211	PT089_P9_B10_S118	epithelial
212	PT089_P9_B11_S119	epithelial
213	PT089_P9_B12_S120	epithelial
214	PT089_P9_C01_S121	Bcell
215	PT089_P9_C02_S122	epithelial
216	PT089_P9_C03_S123	epithelial
217	PT089_P9_C04_S124	epithelial
218	PT089_P9_C05_S125	epithelial
219	PT089_P9_C06_S126	epithelial
220	PT089_P9_C07_S127	epithelial
221	PT089_P9_C08_S128	stroma
222	PT089_P9_C09_S129	epithelial
223	PT089_P9_C10_S130	epithelial
224	PT089_P9_C11_S131	stroma
225	PT089_P9_C12_S132	epithelial
226	PT089_P9_D01_S133	stroma
227	PT089_P9_D02_S134	epithelial
228	PT089_P9_D03_S135	epithelial
229	PT089_P9_D04_S136	stroma
230	PT089_P9_D05_S137	epithelial
231	PT089_P9_D06_S138	epithelial
232	PT089_P9_D07_S139	epithelial
233	PT089_P9_D08_S140	epithelial
234	PT089_P9_D09_S141	stroma
235	PT089_P9_D10_S142	epithelial
236	PT089_P9_D11_S143	epithelial
237	PT089_P9_D12_S144	epithelial
238	PT089_P9_E01_S145	epithelial
239	PT089_P9_E02_S146	stroma
240	PT089_P9_E03_S147	epithelial
241	PT089_P9_E04_S148	epithelial
242	PT089_P9_E05_S149	stroma
243	PT089_P9_E06_S150	epithelial
244	PT089_P9_E07_S151	epithelial
245	PT089_P9_E08_S152	endothelial
246	PT089_P9_E09_S153	stroma
247	PT089_P9_E10_S154	epithelial
248	PT089_P9_E11_S155	epithelial
249	PT089_P9_E12_S156	epithelial
250	PT089_P9_F01_S157	stroma
251	PT089_P9_F02_S158	epithelial
252	PT089_P9_F03_S159	epithelial
253	PT089_P9_F04_S160	epithelial
254	PT089_P9_F05_S161	epithelial
255	PT089_P9_F06_S162	epithelial
256	PT089_P9_F07_S163	epithelial
257	PT089_P9_F08_S164	epithelial
258	PT089_P9_F09_S165	epithelial
259	PT089_P9_F11_S167	epithelial
260	PT089_P9_G01_S169	epithelial
261	PT089_P9_G02_S170	stroma
262	PT089_P9_G03_S171	epithelial
263	PT089_P9_G04_S172	epithelial
264	PT089_P9_G05_S173	epithelial
265	PT089_P9_G06_S174	epithelial
266	PT089_P9_G07_S175	stroma
267	PT089_P9_G08_S176	epithelial
268	PT089_P9_G09_S177	epithelial
269	PT089_P9_G10_S178	epithelial
270	PT089_P9_G11_S179	epithelial
271	PT089_P9_G12_S180	epithelial
272	PT089_P9_H01_S181	stroma
273	PT089_P9_H02_S182	epithelial
274	PT089_P9_H03_S183	epithelial
275	PT089_P9_H04_S184	epithelial
276	PT089_P9_H05_S185	epithelial
277	PT089_P9_H06_S186	epithelial
278	PT089_P9_H07_S187	Bcell
279	PT089_P9_H09_S189	epithelial
280	PT089_P9_H10_S190	epithelial
281	PT089_P9_H11_S191	epithelial
282	PT089_P9_H12_S192	epithelial
283	PT039_P11_A01_S1	epithelial
284	PT039_P11_A02_S2	epithelial
285	PT039_P11_A03_S3	epithelial
286	PT039_P11_A04_S4	epithelial
287	PT039_P11_A07_S7	epithelial
288	PT039_P11_A09_S9	epithelial
