Sample	Cluster
PT089_P1_A01	1
PT089_P1_A02	1
PT089_P1_A03	1
PT089_P1_A06	1
PT089_P1_A07	1
PT089_P1_A09	1
PT089_P1_A10	1
PT089_P1_A12	1
PT089_P1_B01	1
PT089_P1_B04	1
PT089_P1_B07	1
PT089_P1_B08	1
PT089_P1_B11	1
PT089_P1_B12	1
PT089_P1_C03	1
PT089_P1_C10	1
PT089_P1_C12	3
PT089_P1_D02	1
PT089_P1_D03	3
PT089_P1_D09	3
PT089_P3_A03_S291	2
PT089_P3_A05_S293	2
PT089_P3_A06_S294	2
PT089_P3_A08_S296	2
PT089_P3_B01_S301	2
PT089_P3_B02_S302	2
PT089_P3_B05_S305	2
PT089_P3_B06_S306	2
PT089_P3_B08_S308	2
PT089_P3_B09_S309	2
PT089_P3_B10_S310	2
PT089_P3_B12_S312	2
PT089_P3_C02_S314	2
PT089_P3_C03_S315	2
PT089_P3_C04_S316	2
PT089_P3_C05_S317	2
PT089_P3_C10_S322	2
PT089_P3_D01_S325	2
PT089_P3_D02_S326	3
PT089_P3_D03_S327	3
PT089_P3_D04_S328	2
PT089_P3_D05_S329	2
PT089_P3_D08_S332	3
PT089_P3_D09_S333	2
PT089_P3_D10_S334	3
PT089_P3_D12_S336	2
PT089_P3_E01_S337	2
PT089_P3_E02_S338	2
PT089_P3_E04_S340	2
PT089_P3_E05_S341	2
PT089_P3_E06_S342	2
PT089_P3_E07_S343	2
PT089_P3_E08_S344	3
PT089_P3_E09_S345	2
PT089_P3_E10_S346	2
PT089_P3_E11_S347	3
PT089_P3_F01_S349	2
PT089_P3_F02_S350	2
PT089_P3_F03_S351	2
PT089_P3_F05_S353	2
PT089_P3_F06_S354	2
PT089_P3_F07_S355	2
PT089_P3_F08_S356	3
PT089_P3_F09_S357	2
PT089_P3_F10_S358	2
PT089_P3_F11_S359	2
PT089_P3_F12_S360	2
PT089_P3_G02_S362	2
PT089_P3_G03_S363	2
PT089_P3_G04_S364	2
PT089_P3_G05_S365	2
PT089_P3_G06_S366	2
PT089_P3_G07_S367	2
PT089_P3_G08_S368	2
PT089_P3_G09_S369	2
PT089_P3_G10_S370	2
PT089_P3_G12_S372	2
PT089_P3_H01_S373	2
PT089_P3_H02_S374	2
PT089_P3_H03_S375	2
PT089_P3_H04_S376	3
PT089_P3_H05_S377	2
PT089_P3_H09_S381	2
PT089_P3_H10_S382	3
PT089_P3_H11_S383	2
PT089_P3_H12_S384	2
PT089_P7_A02_S2	5
PT089_P7_A03_S3	2
PT089_P7_A04_S4	3
PT089_P7_A06_S6	1
PT089_P7_A07_S7	3
PT089_P7_A08_S8	3
PT089_P7_A09_S9	3
PT089_P7_A10_S10	1
PT089_P7_A11_S11	5
PT089_P7_A12_S12	3
PT089_P7_B01_S13	5
PT089_P7_B03_S15	3
PT089_P7_B04_S16	5
PT089_P7_B05_S17	5
PT089_P7_B06_S18	3
PT089_P7_B07_S19	3
PT089_P7_B08_S20	5
PT089_P7_B09_S21	5
PT089_P7_B10_S22	5
PT089_P7_B11_S23	3
PT089_P7_B12_S24	1
PT089_P7_C01_S25	5
PT089_P7_C02_S26	3
PT089_P7_C03_S27	3
PT089_P7_C04_S28	5
PT089_P7_C05_S29	5
PT089_P7_C06_S30	5
PT089_P7_C08_S32	5
PT089_P7_C09_S33	5
PT089_P7_C10_S34	3
PT089_P7_C11_S35	5
PT089_P7_D02_S38	2
PT089_P7_D03_S39	3
PT089_P7_D05_S41	3
PT089_P7_D06_S42	5
PT089_P7_D07_S43	3
PT089_P7_D08_S44	4
PT089_P7_D10_S46	3
PT089_P7_D11_S47	5
PT089_P7_E01_S49	5
PT089_P7_E02_S50	3
PT089_P7_E03_S51	5
PT089_P7_E04_S52	5
PT089_P7_E05_S53	3
PT089_P7_E06_S54	3
PT089_P7_E07_S55	3
PT089_P7_E08_S56	2
PT089_P7_E10_S58	3
PT089_P7_E11_S59	3
PT089_P7_F02_S62	3
PT089_P7_F03_S63	3
PT089_P7_F04_S64	3
PT089_P7_F05_S65	5
PT089_P7_F06_S66	3
PT089_P7_F08_S68	3
PT089_P7_F09_S69	3
PT089_P7_F10_S70	3
PT089_P7_F11_S71	3
PT089_P7_F12_S72	5
PT089_P7_G01_S73	3
PT089_P7_G02_S74	3
PT089_P7_G03_S75	3
PT089_P7_G05_S77	4
PT089_P7_G09_S81	3
PT089_P7_G10_S82	5
PT089_P7_G11_S83	1
PT089_P9_A01_S97	3
PT089_P9_A02_S98	3
PT089_P9_A03_S99	3
PT089_P9_A04_S100	3
PT089_P9_A05_S101	5
PT089_P9_A06_S102	5
PT089_P9_A08_S104	3
PT089_P9_A09_S105	3
PT089_P9_A10_S106	3
PT089_P9_A11_S107	5
PT089_P9_B01_S109	3
PT089_P9_B03_S111	5
PT089_P9_B04_S112	3
PT089_P9_B05_S113	3
PT089_P9_B06_S114	3
PT089_P9_B07_S115	5
PT089_P9_B09_S117	3
PT089_P9_B10_S118	3
PT089_P9_B11_S119	2
PT089_P9_B12_S120	3
PT089_P9_C02_S122	3
PT089_P9_C03_S123	3
PT089_P9_C04_S124	5
PT089_P9_C05_S125	3
PT089_P9_C06_S126	3
PT089_P9_C07_S127	3
PT089_P9_C09_S129	3
PT089_P9_C10_S130	3
PT089_P9_C12_S132	3
PT089_P9_D02_S134	3
PT089_P9_D03_S135	5
PT089_P9_D05_S137	3
PT089_P9_D06_S138	3
PT089_P9_D07_S139	3
PT089_P9_D08_S140	5
PT089_P9_D10_S142	3
PT089_P9_D11_S143	5
PT089_P9_D12_S144	4
PT089_P9_E01_S145	3
PT089_P9_E03_S147	3
PT089_P9_E04_S148	3
PT089_P9_E06_S150	3
PT089_P9_E07_S151	5
PT089_P9_E10_S154	3
PT089_P9_E11_S155	3
PT089_P9_E12_S156	2
PT089_P9_F02_S158	3
PT089_P9_F03_S159	3
PT089_P9_F04_S160	3
PT089_P9_F05_S161	3
PT089_P9_F06_S162	3
PT089_P9_F07_S163	5
PT089_P9_F08_S164	5
PT089_P9_F09_S165	3
PT089_P9_F11_S167	5
PT089_P9_G01_S169	3
PT089_P9_G03_S171	3
PT089_P9_G04_S172	3
PT089_P9_G05_S173	3
PT089_P9_G06_S174	3
PT089_P9_G08_S176	3
PT089_P9_G09_S177	3
PT089_P9_G10_S178	3
PT089_P9_G11_S179	3
PT089_P9_G12_S180	5
PT089_P9_H02_S182	2
PT089_P9_H03_S183	3
PT089_P9_H04_S184	3
PT089_P9_H05_S185	2
PT089_P9_H06_S186	3
PT089_P9_H09_S189	3
PT089_P9_H10_S190	2
PT089_P9_H11_S191	3
PT089_P9_H12_S192	2
PT039_P11_A01_S1	3
PT039_P11_A02_S2	2
PT039_P11_A03_S3	2
PT039_P11_A04_S4	2
PT039_P11_A07_S7	3
PT039_P11_A09_S9	3
PT039_P11_A11_S11	3
PT039_P11_A12_S12	3
PT039_P11_B02_S14	4
PT039_P11_B03_S15	4
PT039_P11_B04_S16	2
PT039_P11_B05_S17	3
PT039_P11_B07_S19	3
PT039_P11_B08_S20	2
PT039_P11_B11_S23	3
PT039_P11_C03_S27	4
PT039_P11_C05_S29	2
PT039_P11_C06_S30	4
PT039_P11_C07_S31	2
PT039_P11_C09_S33	3
PT039_P11_C11_S35	2
PT039_P11_C12_S36	2
PT039_P11_D01_S37	2
PT039_P11_D02_S38	3
PT039_P11_D03_S39	3
PT039_P11_D04_S40	2
PT039_P11_D05_S41	2
PT039_P11_D07_S43	3
PT039_P11_D08_S44	2
PT039_P11_D09_S45	3
PT039_P11_D10_S46	2
PT039_P11_E01_S49	2
PT039_P11_E03_S51	3
PT039_P11_E04_S52	3
PT039_P11_E05_S53	2
PT039_P11_E06_S54	2
PT039_P11_E09_S57	2
PT039_P11_E11_S59	2
PT039_P11_E12_S60	3
PT039_P11_F01_S61	4
PT039_P11_F02_S62	4
PT039_P11_F05_S65	3
PT039_P11_F06_S66	2
PT039_P11_F07_S67	3
PT039_P11_F10_S70	2
PT039_P11_F11_S71	4
PT039_P11_F12_S72	2
PT039_P11_G01_S73	3
PT039_P11_G02_S74	3
PT039_P11_G03_S75	4
PT039_P11_G04_S76	2
PT039_P11_G05_S77	3
PT039_P11_G08_S80	2
PT039_P11_G09_S81	2
PT039_P11_G10_S82	3
PT039_P11_G12_S84	3
PT039_P11_H01_S85	3
PT039_P11_H02_S86	2
PT039_P11_H03_S87	2
PT039_P11_H06_S90	2
PT039_P11_H08_S92	3
PT039_P11_H10_S94	2
PT039_P11_H12_S96	2
PT039_P1_A03	2
PT039_P1_A04	2
PT039_P1_A05	4
PT039_P1_A08	4
PT039_P1_B02	2
PT039_P1_B04	2
PT039_P1_B05	2
PT039_P1_B06	2
PT039_P1_B09	2
PT039_P1_B11	2
PT039_P1_B12	2
PT039_P1_C01	2
PT039_P1_C02	2
PT039_P1_C03	2
PT039_P1_C04	2
PT039_P1_C06	4
PT039_P1_C08	2
PT039_P1_C09	2
PT039_P1_C10	2
PT039_P1_C11	4
PT039_P1_C12	2
PT039_P1_D01	2
PT039_P1_D02	2
PT039_P1_D03	2
PT039_P1_D04	2
PT039_P1_D05	2
PT039_P1_D06	2
PT039_P1_D10	4
PT039_P1_D12	2
PT039_P1_E02	4
PT039_P1_E03	2
PT039_P1_E06	3
PT039_P1_E07	2
PT039_P1_E08	2
PT039_P1_E09	2
PT039_P1_E10	2
PT039_P1_E11	4
PT039_P1_F01	2
PT039_P1_F02	2
PT039_P1_F03	4
PT039_P1_F04	2
PT039_P1_F05	2
PT039_P1_F06	2
PT039_P1_F07	2
PT039_P1_F08	2
PT039_P1_F10	2
PT058_P1_A05	2
PT058_P1_A07	2
PT058_P1_A08	2
PT058_P1_A10	2
PT058_P1_A12	2
PT058_P1_B02	2
PT058_P1_B03	2
PT058_P1_B04	2
PT058_P1_B11	2
PT058_P1_C07	2
PT058_P1_C08	2
PT058_P1_C10	2
PT058_P1_C12	3
PT058_P1_D04	4
PT058_P1_D06	2
PT058_P1_D07	4
PT058_P1_D09	2
PT058_P1_D11	2
PT058_P1_E01	3
PT058_P1_E03	2
PT058_P1_E06	2
PT058_P1_E08	2
PT058_P1_F08	2
PT058_P1_F09	3
PT058_P1_F10	4
PT058_P1_F12	4
PT058_P1_G04	2
PT058_P1_G05	2
PT058_P1_G08	3
PT058_P1_G11	2
PT058_P1_H06	2
PT058_P1_H07	2
PT058_P1_H08	3
PT081_P1_A01	2
PT081_P1_A02	2
PT081_P1_A03	4
PT081_P1_A05	2
PT081_P1_A06	4
PT081_P1_A07	4
PT081_P1_A08	2
PT081_P1_A09	2
PT081_P1_A10	2
PT081_P1_A12	2
PT081_P1_B01	2
PT081_P1_B02	2
PT081_P1_B03	2
PT081_P1_B04	2
PT081_P1_B06	2
PT081_P1_B07	2
PT081_P1_B08	2
PT081_P1_B10	2
PT081_P1_B11	2
PT081_P1_B12	2
PT081_P1_C01	4
PT081_P1_C02	2
PT081_P1_C03	2
PT081_P1_C04	2
PT081_P1_C05	4
PT081_P1_C06	2
PT081_P1_C07	4
PT081_P1_C08	2
PT081_P1_C09	2
PT081_P1_C11	2
PT081_P1_C12	2
PT081_P1_D01	2
PT081_P1_D02	2
PT081_P1_D03	4
PT081_P1_D04	2
PT081_P1_D05	4
PT081_P1_D06	2
PT081_P1_D07	4
PT081_P1_D08	2
PT081_P1_D09	2
PT081_P1_D10	2
PT081_P1_D12	2
PT081_P1_E01	2
PT081_P1_E02	2
PT081_P1_E03	2
PT081_P1_E04	4
PT081_P1_E05	2
PT081_P1_E06	2
PT081_P1_E07	2
PT081_P1_E09	4
PT081_P1_E10	2
PT081_P1_E11	4
PT081_P1_F01	2
PT081_P1_F02	2
PT081_P1_F03	2
PT081_P1_F04	2
PT081_P1_F05	2
PT081_P1_F06	2
PT081_P1_F07	2
PT081_P1_F08	2
PT081_P1_F11	2
PT081_P1_F12	2
PT081_P1_G01	4
PT081_P1_G02	2
PT081_P1_G04	2
PT081_P1_G06	2
PT081_P1_G07	2
PT081_P1_G08	2
PT081_P1_G10	2
PT081_P1_G11	2
PT081_P1_H01	2
PT081_P1_H03	2
PT081_P1_H04	2
PT081_P1_H06	2
PT081_P1_H07	4
PT081_P1_H10	4
PT081_P1_H11	4
PT081_P1_H12	2
PT081_P3_A02_S194	4
PT081_P3_A03_S195	4
PT081_P3_A04_S196	4
PT081_P3_A05_S197	4
PT081_P3_A08_S200	4
PT081_P3_A11_S203	3
PT081_P3_A12_S204	3
PT081_P3_B01_S205	4
PT081_P3_B02_S206	2
PT081_P3_B03_S207	4
PT081_P3_B04_S208	2
PT081_P3_B07_S211	2
PT081_P3_B08_S212	4
PT081_P3_B09_S213	4
PT081_P3_B12_S216	4
PT081_P3_C01_S217	4
PT081_P3_C02_S218	4
PT081_P3_C03_S219	2
PT081_P3_C04_S220	2
PT081_P3_C05_S221	2
PT081_P3_C06_S222	2
PT081_P3_C09_S225	4
PT081_P3_C10_S226	4
PT081_P3_C11_S227	4
PT081_P3_C12_S228	4
PT081_P3_D01_S229	4
PT081_P3_D02_S230	4
PT081_P3_D03_S231	4
PT081_P3_D04_S232	4
PT081_P3_D05_S233	2
PT081_P3_D06_S234	4
PT081_P3_D10_S238	2
PT081_P3_D11_S239	4
PT081_P3_E01_S241	4
PT081_P3_E02_S242	4
PT081_P3_E03_S243	2
PT081_P3_E04_S244	4
PT081_P3_E06_S246	4
PT081_P3_E07_S247	4
PT081_P3_E08_S248	4
PT081_P3_E11_S251	2
PT081_P3_E12_S252	4
PT081_P3_F01_S253	2
PT081_P3_F03_S255	4
PT081_P3_F04_S256	4
PT081_P3_F06_S258	2
PT081_P3_F08_S260	4
PT081_P3_F09_S261	4
PT081_P3_F11_S263	4
PT081_P3_F12_S264	4
PT081_P3_G01_S265	4
PT081_P3_G03_S267	4
PT081_P3_G04_S268	4
PT081_P3_H02_S278	4
PT081_P3_H03_S279	4
PT081_P3_H04_S280	4
PT081_P3_H05_S281	2
PT081_P3_H07_S283	4
PT081_P3_H09_S285	4
PT081_P3_H11_S287	4
PT081_P5_A02_S98	4
PT081_P5_A03_S99	4
PT081_P5_A04_S100	4
PT081_P5_A05_S101	2
PT081_P5_A06_S102	2
PT081_P5_A07_S103	2
PT081_P5_A08_S104	4
PT081_P5_A09_S105	4
PT081_P5_A10_S106	2
PT081_P5_A11_S107	4
PT081_P5_A12_S108	2
PT081_P5_B01_S109	4
PT081_P5_B02_S110	4
PT081_P5_B03_S111	4
PT081_P5_B04_S112	4
PT081_P5_B05_S113	2
PT081_P5_B06_S114	2
PT081_P5_B08_S116	2
PT081_P5_B09_S117	2
PT081_P5_B10_S118	2
PT081_P5_B11_S119	2
PT081_P5_B12_S120	2
PT081_P5_C01_S121	2
PT081_P5_C02_S122	4
PT081_P5_C03_S123	2
PT081_P5_C04_S124	4
PT081_P5_C05_S125	2
PT081_P5_C06_S126	2
PT081_P5_C07_S127	2
PT081_P5_C08_S128	2
PT081_P5_C09_S129	2
PT081_P5_C10_S130	2
PT081_P5_C11_S131	2
PT081_P5_D01_S133	4
PT081_P5_D02_S134	2
PT081_P5_D03_S135	2
PT081_P5_D05_S137	2
PT081_P5_D07_S139	2
PT081_P5_D09_S141	2
PT081_P5_D10_S142	2
PT081_P5_D11_S143	4
PT081_P5_D12_S144	4
PT081_P5_E02_S146	4
PT081_P5_E03_S147	4
PT081_P5_E04_S148	2
PT081_P5_E05_S149	2
PT081_P5_E08_S152	2
PT081_P5_E09_S153	2
PT081_P5_E12_S156	4
PT081_P5_F01_S157	2
PT081_P5_F02_S158	4
PT081_P5_F03_S159	2
PT081_P5_F04_S160	4
PT081_P5_F05_S161	4
PT081_P5_F06_S162	4
PT081_P5_F08_S164	2
PT081_P5_F09_S165	2
PT081_P5_F10_S166	4
PT081_P5_F11_S167	2
PT081_P5_F12_S168	4
PT081_P5_G01_S169	4
PT081_P5_G02_S170	4
PT081_P5_G03_S171	4
PT081_P5_G04_S172	4
PT081_P5_G05_S173	4
PT081_P5_G06_S174	4
PT081_P5_G08_S176	4
PT081_P5_G09_S177	4
PT081_P5_G11_S179	4
PT081_P5_H01_S181	2
PT081_P5_H02_S182	4
PT081_P5_H03_S183	4
PT081_P5_H04_S184	2
PT081_P5_H05_S185	4
PT081_P5_H06_S186	2
PT081_P5_H07_S187	4
PT081_P5_H08_S188	2
PT081_P5_H09_S189	4
PT081_P5_H11_S191	4
PT084_P11_A05_S293	3
PT084_P11_A06_S294	2
PT084_P11_A07_S295	3
PT084_P11_A09_S297	2
PT084_P11_B02_S302	3
PT084_P11_C03_S315	3
PT084_P11_E03_S339	3
PT084_P11_F05_S353	3
PT084_P11_G04_S364	4
PT084_P11_G11_S371	3
PT084_P1_D11	2
PT084_P1_D12	2
PT084_P1_E01	2
PT084_P1_E02	2
PT084_P1_E04	2
PT084_P8_A02_S194	3
