cluster2	cluster3	cluster4
GLTP	BIRC3	S1PR2
SKP2	SOX11	LDLR
HP	CCL20	RFC2
PGAM5	BCL2A1	SKP2
GPI	CLEC7A	GSTM3
NUDT19	KCNK6	PEX13
INIP	NUDT19	OGFOD1
ECT2	PCMTD1	SLC11A2
S1PR2	B3GALNT2	TPMT
MS4A10	TBX3	AP3M1
ERVV-1	RDH10	HNRNPL
LINC00663	ENAH	INIP
SPIB	FAM117B	KIAA1324
FLVCR1	SPIB	SLC50A1
GJC1	PGAM5	PTPN2
LINC00941	KCNJ2	RNF7
BPNT1	ART3	ARSA
ME2	DAPP1	NT5DC3
METTL2A	HGD	TRA2A
NYAP2	DNAJC12	LINC00665
ZNF264	HP	TAPBP
RBBP5	CCL2	SMIM14
ZNF492	CYP4F22	PCMTD1
FUT2	SYNPO2	TLDC1
GPR155	SGCB	CRK
SLC50A1	CLDN11	MPPE1
SENP5	NEK10	TMEM41B
PDLIM5	ALOX15B	DCAF11
SIX4	MS4A10	PSMB2
NUAK2	TRA2A	KCNJ2
MOB4	SLC5A5	LINC00574
C4orf26	CXCL10	GLTP
ZNF543	HEPACAM2	ZMYM5
NOL9	C9orf152	PDK3
CXorf56	RHOF	LAMC2
PEX13	FUT1	UBE2D4
SLC25A51	C4orf26	AIFM1
SLC5A5	TLK1	PCYOX1
ENTPD4	RBBP5	HM13
LINC00665	PNMA2	TMEM130
TMEM41B	SRGAP2C	SF3B3
UBXN2B	NCMAP	ENPP1
CLEC7A	NHSL1	RREB1
DAPP1	CAV2	VPS39
ZNF681	C1orf186	LINC00663
ART3	ACBD7	BCKDHB
GGPS1	SIGLEC10	GTF2H3
ACBD7	ZNF492	MRPS10
ASB11	ATP1A4	EMP2
TMEM120B	IL17RD	MCTS1
GPR37L1	BMP7	IRF1
TPMT	ABL2	CHRNG
ABL2	PHACTR2	CLDN11
IBA57	ZNF264	THAP6
TLDC1	ERVV-1	TMC5
KCNJ11	MAP7D3	ZNF543
SH2B3	FMO5	C2orf40
CSF2RA	ZFP42	TAT
TAPBP	SERPINB7	FAIM
ZNF829	C2orf40	WDR82
CACNG8	PRELP	ARHGEF39
DNAJC27-AS1	ENPP2	LINC00311
OGFOD1	GSTM3	PRRG4
C1orf229	CTSS	RPP14
ZFP42	SLC36A2	CDCP1
C1orf210	CCL4	HINT3
GNL3L	INPP5J	NDUFAF1
RASGRP4	S1PR2	SLC44A4
NEK2	GPR37L1	ZNF562
C2orf40	UBXN2B	QPRT
NCMAP	GPR155	MOB4
PNMA2	STAC2	NDUFAF7
TRIP13	ASB11	SLC35F6
C11orf58	CDH23	CDH23
PPID	GJC1	BPNT1
MRPS10	TNFAIP2	DNAAF2
FBXL20	EPGN	FUT2
ZNF805	THAP5	MRPL44
LINC00311	TMEM120B	PHAX
VHL	ABCC11	SCAMP4
SGCB	ABCC8	ATXN3
TLR10	ABCB5	CPEB1
RNF207	SENP5	TBX3
MMD2	PLAC8	TXNDC15
C4orf19	SH2B3	AK3
ZFP14	ZNF681	TUBD1
KBTBD12	RAB33B	ZNF721
RDH10	ECT2	SLC25A51
PLA2G4E	TOR1AIP2	ZNF394
FLT1	FEZ1	IGSF6
ABCB5	TNFRSF9	RRP7A
RHOF	LINC00941	NDRG3
CHRNB1	NUAK2	CSF2RA
KLLN	GLTP	TMPRSS3
SNHG7	PPEF2	ARHGAP1
SLC7A14	TMEM159	FXN
ORM2	ZNF286B	MOK
UCKL1-AS1	MCF2L2	SS18
GTF2H3	TLR10	LCP2
NUP43	ZSCAN29	GTPBP3
