ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position	gc	gene_short_name	mean_exprs	exprs_rank	n_cells_exprs	total_feature_exprs	pct_total_exprs	pct_dropout	total_feature_counts	log10_total_feature_counts	pct_total_counts	total_feature_tpm	log10_total_feature_tpm	pct_total_tpm	is_feature_control
A1BG	ENSG00000121410	A1BG	19	58345178	58353499	0.473684210526316	A1BG	0.0635158768226232	3666	246	75.520377542099	0.00182754589888218	79.3103448275862	64.8740409940076	1.8187143057304	0.000492153803041556	6282.22	3.79818226632318	0.000558399123726655	FALSE
A1BG-AS1	ENSG00000268895	A1BG-AS1	19	58347751	58355183	0.455401587515135	A1BG-AS1	0.0392329186024711	2126	40	46.6479402183382	0.00112885097521926	96.6358284272498	90.0820205433972	1.95943265634269	0.000683389046170188	5983.4	3.77702061426599	0.000531838317809002	FALSE
A1CF	ENSG00000148584	A1CF	10	50799409	50885675	0.492737663301146	A1CF	0.00958813328939621	239	5	11.4002904810921	0.000275879898815007	99.5794785534062	3.00578247444825	0.602687362153825	2.28027613703301e-05	2611.67	3.41708455851046	0.000232139950441594	FALSE
A2M	ENSG00000175899	A2M	12	9067664	9116229	0.427686035498085	A2M	0.663042119843068	12105	575	788.357080493408	0.0190777482343398	51.6400336417157	5584.47857183405	3.74706039002144	0.0423655182415117	363495.08	5.56049973171899	0.0323094915731939	FALSE
A2M-AS1	ENSG00000245105	A2M-AS1	12	9065177	9068060	0.51005547850208	A2M-AS1	0.0416304590326267	2313	27	49.4986157897931	0.00119783554096447	97.7291841883936	113.268234489479	2.05792551733073	0.000859286573083204	8577.36	3.93340426791527	0.000762404103627071	FALSE
A2ML1	ENSG00000166535	A2ML1	12	8822472	8887001	0.428777312877731	A2ML1	0.105892138513304	5678	112	125.905752692319	0.00304684046170521	90.5803195962994	154.372644473581	2.19137455757967	0.00117111687354689	14770.67	4.16942959692236	0.00131290040540694	FALSE
AAAS	ENSG00000094914	AAAS	12	53307456	53324864	0.496237578264116	AAAS	0.15918915925981	7458	353	189.275910359914	0.00458035863952908	70.3111858704794	447.421716835892	2.65168663709334	0.0033942744452208	29840.62	4.47482239581013	0.00265240250412435	FALSE
AACS	ENSG00000081760	AACS	12	125065379	125143333	0.51123083830415	AACS	0.0854284038569707	4803	286	101.574372185938	0.00245803627261347	75.946173254836	182.808137286426	2.26436473392912	0.00138683699387198	12889.33	4.1102640356889	0.00114567630191615	FALSE
AAED1	ENSG00000158122	AAED1	9	96639577	96655303	0.413365549691613	AAED1	0.0443657817147023	2478	43	52.7509144587811	0.00127653913445664	96.3835155592935	108.135223021735	2.03796494027813	0.000820346018799872	7241.55	3.85989150210143	0.000643669781450309	FALSE
AAGAB	ENSG00000103591	AAGAB	15	67201033	67255195	0.478204678470543	AAGAB	0.283259928469866	9818	510	336.79605495067	0.00815025386547726	57.1068124474348	551.757072929391	2.74253430840055	0.00418579354140064	43215.6	4.63565059643613	0.00384124611543716	FALSE
