ID	GeneRef	Chr	Symbol	Average log fold-change
ILMN_1722489	NM_003225.2	21	TFF1	5.83
ILMN_1795342	NM_001042467.1	2	MLPH	5.30
ILMN_1782939	NM_000477.3	4	ALB	5.28
ILMN_2108735	NM_001958.2	20	EEF1A2	5.13
ILMN_1682763	NM_000477.3	4	ALB	5.11
ILMN_1728799	NM_000507.2	9	FBP1	5.06
ILMN_1695397	XM_927359.1	1	LOC644151	4.85
ILMN_1766650	NM_004496.2	14	FOXA1	4.85
ILMN_1668822	NM_006399.2	14	BATF	4.84
ILMN_1680814	NM_001956.2	1	EDN2	4.82
ILMN_1682929	NM_206928.1	11	SYTL2	4.82
ILMN_2311020	NM_201262.1	10	DNAJC12	4.81
ILMN_1728787	NM_176813.3	7	AGR3	4.71
ILMN_1787266	NM_003122.2	5	SPINK1	4.69
ILMN_2336609	NM_206929.1	11	SYTL2	4.67
ILMN_1651428	NM_032379.3	11	SYTL2	4.67
ILMN_1730977	NM_025257.2	6	SLC44A4	4.66
ILMN_1719250	NM_032794.1	6	SLC44A4	4.65
ILMN_1779517	NM_152573.2	9	RASEF	4.55
ILMN_1803073	NM_021800.2	10	DNAJC12	4.46
ILMN_2269256	NM_021800.2	10	DNAJC12	4.44
ILMN_1651329	XM_944750.2		LOC646360	4.44
ILMN_2289844	NM_170694.1	22	SERHL	4.40
ILMN_1752075	NM_206819.1	12	MYBPC1	4.28
ILMN_1753766	XM_943925.1		LOC388743	4.26
ILMN_1679267	NM_198951.1	20	TGM2	4.23
ILMN_1796059	XM_001131823.1		ANKRD30A	4.20
ILMN_1657409	NM_170694.1	22	SERHL	4.19
ILMN_2240221	NM_032943.2	11	SYTL2	4.17
ILMN_1725773	NM_201262.1	10	DNAJC12	4.14
ILMN_1729691	NM_004694.3	17	SLC16A6	4.11
ILMN_2413833	NM_001080430.1	16	TOX3	4.09
ILMN_1685625	NM_003355.2	11	UCP2	4.04
ILMN_1763666	NM_001031615.1	11	ALDH3B2	4.01
ILMN_2330170	NM_206821.1	12	MYBPC1	4.00
ILMN_1791678	NM_000353.1	16	TAT	3.94
ILMN_1712082	NM_004751.1	15	GCNT3	3.92
ILMN_1779416	NM_020974.1	11	SCUBE2	3.90
ILMN_2325506	NM_017843.3	20	BCAS4	3.89
ILMN_1719599	NM_080737.1	X	SYTL4	3.88
ILMN_1759910	NM_000624.3	14	SERPINA5	3.88
ILMN_1772686	NM_033086.2	9	FGD3	3.86
ILMN_2359698	NM_178134.2	1	CYP4Z1	3.82
ILMN_2382942	NM_001218.3	15	CA12	3.79
ILMN_1760087	NM_000111.1	7	SLC26A3	3.79
ILMN_1844029				3.78
ILMN_1708303	NM_173483.2		CYP4F22	3.77
ILMN_1656369	NM_020130.3	8	C8orf4	3.77
ILMN_1753101	NM_024626.2	1	VTCN1	3.71
ILMN_1808059	NM_017843.3	20	BCAS4	3.66
ILMN_1781400	NM_001008539.2	8	SLC7A2	3.65
ILMN_1693119	NM_177964.3	2	LOC130576	3.61
ILMN_1767129	NM_000352.3	11	ABCC8	3.59
ILMN_2053103	NM_014585.3	2	SLC40A1	3.58
ILMN_1775235	NM_001025108.1	2	AFF3	3.57
ILMN_1813607	XM_001131823.1		ANKRD30A	3.55
ILMN_1811387	NM_003226.2	21	TFF3	3.54
ILMN_1771120	NM_138788.3	11	TMEM45B	3.53
ILMN_1709634	NM_138809.3	5	CMBL	3.53
ILMN_2231298	NM_014509.3	22	SERHL2	3.52
ILMN_2231299	NM_014509.3	22	SERHL2	3.49
ILMN_1677108	NM_144575.2	2	CAPN13	3.49
ILMN_1791095	NM_001080451.1	14	SERPINA11	3.49
ILMN_1754969	NM_014583.2	3	LMCD1	3.44
ILMN_1720998	NM_001218.3	15	CA12	3.43
ILMN_1679299	NM_001555.2	X	IGSF1	3.42
ILMN_2198878	NM_003866.1	4	INPP4B	3.42
ILMN_2371911	NM_001044390.1	1	MUC1	3.40
ILMN_1680996	XM_001127464.1		ALOX5	3.37
ILMN_1668593	NM_000613.1	11	HPX	3.36
ILMN_1672589	NM_198925.1	15	SEMA4B	3.31
ILMN_1785570	NM_145006.2	9	SUSD3	3.30
ILMN_2056032	NM_002414.3	X	CD99	3.28
ILMN_1803850	NM_012339.3	10	TSPAN15	3.27
ILMN_1696243	XM_939163.2		FLJ23152	3.27
ILMN_1730039	NM_032880.2	1	IGSF21	3.26
ILMN_2137208	NM_198447.1	1	GOLT1A	3.25
ILMN_1772036	NM_024636.2	7	STEAP4	3.25
ILMN_1736412	NM_020547.1	12	AMHR2	3.25
ILMN_1685699	NM_002771.2	9	PRSS3	3.24
ILMN_1802105	NM_018423.1	12	STYK1	3.23
ILMN_1669781	NM_000949.2	5	PRLR	3.22
ILMN_1837428				3.21
ILMN_1733904	NM_033197.2	20	C20orf114	3.20
ILMN_2331082	NM_206938.1	11	MS4A7	3.19
ILMN_1713892	NM_174921.1	4	C4orf34	3.17
ILMN_2310814	NM_016841.2	17	MAPT	3.16
ILMN_2371280	NM_172313.1	1	CSF3R	3.11
ILMN_2186137	NM_004165.1	16	RRAD	3.10
ILMN_1701204	NM_005429.2	4	VEGFC	3.09
ILMN_1730117	NM_024780.3	16	TMC5	3.08
ILMN_1656920	NM_001311.3	14	CRIP1	3.08
ILMN_1779448	NM_025202.2	2	EFHD1	3.07
ILMN_2175236	NM_000949.2	5	PRLR	3.07
