ID	GeneRef	Chr	Symbol	Average log fold-change
ILMN_1689146	NM_014211.1	5	GABRP	5.20
ILMN_1703855	NM_006919.1	18	SERPINB3	5.11
ILMN_1790160	NM_001093772.1	4	KIT	5.09
ILMN_1767685	NM_003784.2	18	SERPINB7	5.07
ILMN_1685387	NM_002644.2	1	PIGR	5.00
ILMN_1782716	NM_002974.2	18	SERPINB4	4.98
ILMN_2410612	NM_017579.1	10	DMBT1	4.92
ILMN_2395139	NM_003784.2	18	SERPINB7	4.89
ILMN_1792400	NM_005212.2	4	CSN3	4.77
ILMN_1653006	NM_001890.1	4	CSN1S1	4.75
ILMN_2184109	NM_006424.2	4	SLC34A2	4.74
ILMN_1774087	NM_019846.3	5	CCL28	4.45
ILMN_1774265	NM_206895.1	2	UNQ830	4.42
ILMN_1701347	NM_019846.3	5	CCL28	4.35
ILMN_1725276	NM_152997.2	4	C4orf7	4.34
ILMN_1723358	NM_016240.2	8	SCARA3	4.33
ILMN_1707591	NM_024873.3	4	TNIP3	4.32
ILMN_1652631	NM_022343.2	9	C9orf19	4.28
ILMN_1753954	NM_006418.3	13	OLFM4	4.15
ILMN_1757099	NM_024889.3	10	C10orf81	4.13
ILMN_2229379	NM_000222.1	4	KIT	4.13
ILMN_1713182	XM_936226.1		LOC653879	4.06
ILMN_1658040	NM_004378.1	15	CRABP1	4.03
ILMN_2114720	NM_003064.2	20	SLPI	4.03
ILMN_1813270	NM_198381.1	11	ELF5	3.90
ILMN_1862684				3.84
ILMN_1733831	NM_024554.2	1	PGBD5	3.79
ILMN_1804935	NM_001024460.1	6	VNN3	3.77
ILMN_1749875	XM_001128260.1	12	LOC728715	3.76
ILMN_1728255	NM_002289.2	12	LALBA	3.76
ILMN_1664176	NM_006329.2	14	FBLN5	3.75
ILMN_1662880	NM_175616.2	5	FIS	3.73
ILMN_1708580	NM_005764.3	1	PDZK1IP1	3.72
ILMN_1685663	NM_000782.3	20	CYP24A1	3.68
ILMN_1747227	NM_000674.1	1	ADORA1	3.65
ILMN_1716407	NM_003603.4	4	SORBS2	3.63
ILMN_1731503	NM_006770.3	2	MARCO	3.63
ILMN_2389501	NM_181755.1	1	HSD11B1	3.61
ILMN_1674574	NM_004666.1	6	VNN1	3.59
ILMN_1721818	NM_006984.3	13	CLDN10	3.59
ILMN_2072568	NM_199328.1	21	CLDN8	3.56
ILMN_1668055	NM_006512.1	11	SAA4	3.56
ILMN_1653836	NM_012194.1	11	C11orf41	3.53
ILMN_1752562	NM_002994.3	4	CXCL5	3.51
ILMN_1705247	NM_016234.3	10	ACSL5	3.46
ILMN_1788538	NM_032041.1	8	NCALD	3.44
ILMN_1796337	NM_198477.1	19	CXCL17	3.43
ILMN_2343097	NM_001040626.1	8	NCALD	3.39
ILMN_2326273	NM_004000.2	1	CHI3L2	3.39
ILMN_2098126	NM_002985.2	17	CCL5	3.37
ILMN_2113470	NM_145740.2	6	GSTA1	3.37
ILMN_2289433	NM_181504.2	5	PIK3R1	3.32
ILMN_1780255	NM_001012964.1	19	KLK6	3.32
ILMN_1791679	NM_139072.3	2	DNER	3.31
ILMN_1692223	NM_005564.3	9	LCN2	3.30
ILMN_1786444	NM_000237.2	8	LPL	3.28
ILMN_1669046	NM_033260.3	6	FOXQ1	3.28
ILMN_2223941	NM_006329.2	14	FBLN5	3.27
ILMN_2407879	NM_003603.4	4	SORBS2	3.26
ILMN_1770612	NM_002275.2	17	KRT15	3.25
ILMN_2389506	NM_181755.1	1	HSD11B1	3.24
ILMN_1811370	NM_005525.2	1	HSD11B1	3.24
ILMN_2344120	NM_001012337.1	3	ROPN1B	3.24
ILMN_1668766	NM_017578.2	3	ROPN1	3.23
ILMN_2361603	NM_201539.1	14	NDRG2	3.22
ILMN_1741014	NM_022127.1	9	SLC28A3	3.20
ILMN_1784532	NM_152888.1	8	COL22A1	3.20
ILMN_1654594	NM_006424.1	4	SLC34A2	3.19
ILMN_1795838	NM_018302.1	4	C4orf19	3.19
ILMN_2301083	NM_181800.1	20	UBE2C	3.18
ILMN_1762260	NM_000064.1	19	C3	3.15
ILMN_2319000	NM_139354.2	19	MATK	3.14
ILMN_2370882	NM_203379.1	10	ACSL5	3.14
ILMN_1782937	XM_941789.2		LOC647169	3.13
ILMN_1695316	NM_022154.5	4	SLC39A8	3.13
ILMN_1762594	NM_022162.1	16	NOD2	3.13
ILMN_1718866	NM_206966.2	5	MGC23985	3.12
ILMN_1659639	XM_936265.1		LOC642120	3.09
ILMN_1802653	NM_005755.2	19	EBI3	3.09
ILMN_2235851	NM_001080535.1	2	LINCR	3.09
ILMN_1659960	NM_172374.1	19	IL4I1	3.08
ILMN_2413650	NM_003035.2	1	STIL	3.08
ILMN_1722981	NM_003268.4	1	TLR5	3.07
ILMN_2346339	NM_016724.1	11	FOLR1	3.02
ILMN_1810752	NM_000715.3	1	C4BPA	3.02
ILMN_1721732	NM_031415.2	8	MLZE	3.02
ILMN_1706813	NM_007231.1	X	SLC6A14	3.01
ILMN_1772131	NM_173343.1	2	IL1R2	3.01
ILMN_1653494	NM_006271.1	1	S100A1	3.01
ILMN_1661733	NM_016731.2	11	FOLR1	2.98
ILMN_1775330	NM_207380.1	15	C15orf52	2.98
ILMN_1728262	NM_030754.2	11	SAA2	2.97
ILMN_1781758	NM_001012337.1	3	ROPN1B	2.97
ILMN_2048043	NM_004942.2	8	DEFB4	2.96
ILMN_1717393	NM_173495.2	X	PTCHD1	2.95
ILMN_1746376	NM_182826.1	8	SCARA3	2.94
ILMN_1881206				2.94
ILMN_1744299	NM_153840.2	6	GPR110	2.94
ILMN_1772387	NM_003264.3	4	TLR2	2.90
ILMN_1745299	NM_001446.3	6	FABP7	2.89
ILMN_2387680	NM_001024460.1	6	VNN3	2.87
ILMN_1775285	NM_198505.2	3	ATP13A5	2.86
ILMN_1655613	NM_000846.3	6	GSTA2	2.85
ILMN_1713529	NM_020796.3	5	SEMA6A	2.83
ILMN_1729851	NM_017855.3	4	ODAM	2.81
ILMN_1758497	NM_020659.2	19	TTYH1	2.80
ILMN_2317364	NM_001890.1	4	CSN1S1	2.78
ILMN_1808713	NM_002153.1	16	HSD17B2	2.77
ILMN_1806603	NM_018670.2	15	MESP1	2.74
ILMN_1680965	XM_001128061.1	8	LOC728454	2.74
ILMN_1773352	NM_002985.2	17	CCL5	2.74
ILMN_1685194	NM_006984.3	13	CLDN10	2.73
ILMN_1714730	NM_181803.1	20	UBE2C	2.71
ILMN_1846574				2.71
ILMN_2171384	NM_002994.3	4	CXCL5	2.70
ILMN_1713124	NM_003739.4	10	AKR1C3	2.70
ILMN_1746676	NM_199328.1	21	CLDN8	2.70
ILMN_1778136	NM_032265.1	17	ZMYND15	2.69
ILMN_1743950	NM_198541.1	19	IGFL1	2.69
ILMN_1672264	NM_182495.3	11	FAM55B	2.68
ILMN_2089752	NM_001002919.1	2	LOC285016	2.68
ILMN_1812073	NM_001692.3	2	ATP6V1B1	2.66
ILMN_1861804				2.65
ILMN_2241124	NM_153840.2	6	GPR110	2.64
ILMN_1802377	NM_032263.2	3	IQCG	2.63
ILMN_2304495	NM_181505.1	17	PPP1R1B	2.63
ILMN_1808590	NM_000856.3	4	GUCY1A3	2.63
ILMN_1671891	NM_017933.3	2	PID1	2.63
ILMN_1767446	NM_020724.1	4	RNF150	2.62
ILMN_2228845	NM_148672.2	5	CCL28	2.61
ILMN_1779031	NM_175056.1	3	ZPLD1	2.60
ILMN_1736527	NM_014553.1	2	TFCP2L1	2.58
ILMN_1753665	NM_001098538.1	12	PRR4	2.57
ILMN_2322831	NM_153292.1	17	NOS2A	2.56
ILMN_1734929	NM_003986.2	11	BBOX1	2.56
ILMN_2179083	NM_032211.6	10	LOXL4	2.56
ILMN_2355486	NM_206964.1	21	FAM3B	2.54
ILMN_1717636	NM_020211.1	15	RGMA	2.54
ILMN_1706612	NM_080736.1	20	WFDC2	2.53
ILMN_2131177	NM_000856.2	4	GUCY1A3	2.52
ILMN_1761733	NM_002118.3	6	HLA-DMB	2.51
ILMN_1701831	NM_145740.2	6	GSTA1	2.51
ILMN_1656310	NM_002164.3	8	INDO	2.51
ILMN_1787526	NM_032321.1	2	MGC13057	2.50
ILMN_1695880	NM_002317.3	5	LOX	2.49
ILMN_1695311	NM_006120.2	6	HLA-DMA	2.49
ILMN_1736911	NM_003275.2	9	TMOD1	2.48
ILMN_2090351	NR_002171.1	13	OR7E156P	2.48
ILMN_1737308	NM_002064.1	5	GLRX	2.45
ILMN_1748352	NM_001333.2	9	CTSL2	2.44
ILMN_2120222	NM_006919.1	18	SERPINB3	2.43
ILMN_1714393	NM_001031677.2	5	RAB24	2.42
ILMN_1786720	NM_006017.1	4	PROM1	2.41
ILMN_1811624	NM_022065.4	2	THADA	2.40
ILMN_2125346	NM_024690.2	19	MUC16	2.40
ILMN_1757351	NM_002963.3	1	S100A7	2.39
ILMN_1757532	NM_014723.2	20	SNPH	2.38
ILMN_1804629	NM_001042482.1	7	TPK1	2.37
ILMN_1680230	XM_934624.2	13	LOC647264	2.36
ILMN_1749118	NM_017422.3	10	CALML5	2.35
ILMN_2380237	NM_198594.1	17	C1QTNF1	2.34
ILMN_1654966	NM_182826.1	8	SCARA3	2.32
ILMN_1799765	NM_130781.1	5	RAB24	2.31
ILMN_1712632	NM_000379.3	2	XDH	2.31
ILMN_1703926	NM_000956.2	14	PTGER2	2.30
ILMN_1748840	NM_007088.2	16	CALB2	2.29
ILMN_1874003				2.28
ILMN_1739576	NM_016229.3	11	CYB5R2	2.27
ILMN_1755024	NM_014002.2	1	IKBKE	2.26
ILMN_1652237	NM_001236.3	21	CBR3	2.25
ILMN_1702447	NM_006548.4	3	IGF2BP2	2.25
ILMN_1669831	NM_052831.2	6	C6orf192	2.23
ILMN_1802023	NR_002171.1	13	OR7E156P	2.22
ILMN_1770922	NM_018004.1	3	TMEM45A	2.21
ILMN_1791721	NM_181617.1	21	KRTAP21-2	2.19
ILMN_1772289	NM_001276.1	1	CHI3L1	2.18
